run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778875201906,zela,10,1778875201906,1778875201907,957,153566,1,true,confirmed,false
1,1778875203324,baseline,10,1778875203324,1778875203442,,118131,1,true,confirmed,false
2,1778875204224,zela,10,1778875204224,1778875204242,18084,225957,1,true,confirmed,false
2,1778875205791,baseline,10,1778875205791,1778875205873,,81298,1,true,confirmed,false
3,1778875206643,zela,10,1778875206643,1778875206661,17764,210365,1,true,confirmed,false
3,1778875208197,baseline,10,1778875208197,1778875208301,,104494,1,true,confirmed,false
4,1778875209050,zela,10,1778875209050,1778875209073,22694,210239,1,true,confirmed,false
4,1778875210605,baseline,10,1778875210605,1778875210718,,113069,1,true,confirmed,false
5,1778875211496,zela,10,1778875211496,1778875211513,17164,217607,1,true,confirmed,false
5,1778875213054,baseline,10,1778875213054,1778875213165,,110387,1,true,confirmed,false
6,1778875213891,zela,10,1778875213891,1778875213892,883,19053,1,false,confirmed,false
6,1778875215294,baseline,10,1778875215294,1778875215386,,91888,1,false,confirmed,false
7,1778875216097,zela,10,1778875216097,1778875216098,907,18037,1,false,confirmed,false
7,1778875217500,baseline,10,1778875217500,1778875217582,,82041,1,false,confirmed,false
8,1778875218391,zela,10,1778875218391,1778875218392,876,447932,1,false,confirmed,false
8,1778875220127,baseline,10,1778875220127,1778875220203,,76114,1,false,confirmed,false
9,1778875220916,zela,10,1778875220916,1778875220917,1027,18370,1,false,confirmed,false
9,1778875222321,baseline,10,1778875222321,1778875222413,,92402,1,false,confirmed,false
10,1778875223132,zela,10,1778875223132,1778875223133,1460,18666,1,false,confirmed,false
10,1778875224533,baseline,10,1778875224533,1778875224620,,86628,1,false,confirmed,false
11,1778875225332,zela,10,1778875225332,1778875225333,901,18181,1,false,confirmed,false
11,1778875226734,baseline,10,1778875226734,1778875226829,,95173,1,false,confirmed,false
12,1778875227556,zela,10,1778875227556,1778875227557,1069,18916,1,false,confirmed,false
12,1778875228958,baseline,10,1778875228958,1778875229052,,93650,1,false,confirmed,false
13,1778875229820,zela,10,1778875229820,1778875229827,7761,180516,1,false,confirmed,false
13,1778875231344,baseline,10,1778875231344,1778875231432,,88204,1,false,confirmed,false
14,1778875232237,zela,10,1778875232237,1778875232238,939,447054,1,false,confirmed,false
14,1778875233980,baseline,10,1778875233980,1778875234099,,118590,1,false,confirmed,false
15,1778875234815,zela,10,1778875234815,1778875234816,1019,18800,1,false,confirmed,false
15,1778875236217,baseline,10,1778875236217,1778875236306,,88886,1,false,confirmed,false
16,1778875237074,zela,10,1778875237074,1778875237182,108117,495689,1,false,confirmed,false
16,1778875238896,baseline,10,1778875238896,1778875238991,,94430,1,false,confirmed,false
17,1778875239739,zela,10,1778875239739,1778875239741,1938,174027,1,false,confirmed,false
17,1778875241255,baseline,10,1778875241255,1778875241370,,114377,1,false,confirmed,false
18,1778875242097,zela,10,1778875242097,1778875242098,1045,18481,1,false,confirmed,false
18,1778875243500,baseline,10,1778875243500,1778875243593,,92456,1,false,confirmed,false
19,1778875244305,zela,10,1778875244305,1778875244306,1094,18742,1,false,confirmed,false
19,1778875245714,baseline,10,1778875245714,1778875245811,,96155,1,false,confirmed,false
20,1778875246528,zela,10,1778875246528,1778875246529,992,18658,1,false,confirmed,false
20,1778875247931,baseline,10,1778875247931,1778875248100,,168259,1,false,confirmed,false
21,1778875248823,zela,10,1778875248823,1778875248824,968,18426,1,false,confirmed,false
21,1778875250227,baseline,10,1778875250227,1778875250350,,123002,1,false,confirmed,false
22,1778875251073,zela,10,1778875251073,1778875251074,902,18369,1,false,confirmed,false
22,1778875252478,baseline,10,1778875252478,1778875252589,,111014,1,false,confirmed,false
23,1778875253299,zela,10,1778875253299,1778875253300,833,18179,1,false,confirmed,false
23,1778875254706,baseline,10,1778875254706,1778875254797,,90957,1,false,confirmed,false
24,1778875255546,zela,10,1778875255546,1778875255549,3385,176429,1,false,confirmed,false
24,1778875257061,baseline,10,1778875257061,1778875257176,,114340,1,false,confirmed,false
25,1778875257893,zela,10,1778875257893,1778875257895,1024,19039,1,false,confirmed,false
25,1778875259295,baseline,10,1778875259295,1778875259404,,109595,1,false,confirmed,false
26,1778875260112,zela,10,1778875260112,1778875260113,957,18002,1,false,confirmed,false
26,1778875261545,baseline,10,1778875261545,1778875261638,,92881,1,false,confirmed,false
27,1778875262404,zela,10,1778875262404,1778875262449,44529,314489,1,false,confirmed,false
27,1778875264041,baseline,10,1778875264041,1778875264130,,88919,1,false,confirmed,false
28,1778875264836,zela,10,1778875264836,1778875264837,848,18099,1,false,confirmed,false
28,1778875266250,baseline,10,1778875266250,1778875266328,,77708,1,false,confirmed,false
29,1778875267041,zela,10,1778875267041,1778875267042,1813,21301,1,false,confirmed,false
29,1778875268445,baseline,10,1778875268445,1778875268515,,70376,1,false,confirmed,false
30,1778875269315,zela,10,1778875269315,1778875269315,649,376500,1,false,confirmed,false
30,1778875270976,baseline,10,1778875270976,1778875271123,,147924,1,false,confirmed,false
31,1778875271833,zela,10,1778875271833,1778875271834,1058,18471,1,false,confirmed,false
31,1778875273238,baseline,10,1778875273238,1778875273336,,98834,1,false,confirmed,false
32,1778875274063,zela,10,1778875274063,1778875274063,974,18932,1,false,confirmed,false
32,1778875275467,baseline,10,1778875275467,1778875275576,,108945,1,false,confirmed,false
33,1778875276274,zela,10,1778875276274,1778875276275,1101,18749,1,false,confirmed,false
33,1778875277679,baseline,10,1778875277679,1778875277777,,97325,1,false,confirmed,false
34,1778875278484,zela,10,1778875278484,1778875278484,923,18156,1,false,confirmed,false
34,1778875279890,baseline,10,1778875279890,1778875279981,,90802,1,false,confirmed,false
35,1778875280730,zela,10,1778875280730,1778875280731,1594,174025,1,false,confirmed,false
35,1778875282246,baseline,10,1778875282246,1778875282356,,110470,1,false,confirmed,false
36,1778875283058,zela,10,1778875283058,1778875283060,1431,18589,1,false,confirmed,false
36,1778875284459,baseline,10,1778875284459,1778875284570,,110796,1,false,confirmed,false
37,1778875285277,zela,10,1778875285277,1778875285278,918,18568,1,false,confirmed,false
37,1778875286687,baseline,10,1778875286687,1778875286787,,99806,1,false,confirmed,false
38,1778875287592,zela,10,1778875287592,1778875287593,1017,448417,1,false,confirmed,false
38,1778875289324,baseline,10,1778875289324,1778875289448,,123455,1,false,confirmed,false
39,1778875290157,zela,10,1778875290157,1778875290158,1071,18459,1,false,confirmed,false
39,1778875291563,baseline,10,1778875291563,1778875291669,,105687,1,false,confirmed,false
40,1778875292376,zela,10,1778875292376,1778875292377,858,18458,1,false,confirmed,false
40,1778875293777,baseline,10,1778875293777,1778875293862,,84811,1,false,confirmed,false
41,1778875294562,zela,10,1778875294562,1778875294563,968,18185,1,false,confirmed,false
41,1778875295964,baseline,10,1778875295964,1778875296058,,93828,1,false,confirmed,false
42,1778875296763,zela,10,1778875296763,1778875296764,972,18141,1,false,confirmed,false
42,1778875298165,baseline,10,1778875298165,1778875298268,,102876,1,false,confirmed,false
43,1778875299077,zela,10,1778875299077,1778875299078,850,447647,1,false,confirmed,false
43,1778875300809,baseline,10,1778875300809,1778875300900,,90504,1,false,confirmed,false
44,1778875301604,zela,10,1778875301604,1778875301605,909,17999,1,false,confirmed,false
44,1778875303008,baseline,10,1778875303008,1778875303096,,87930,1,false,confirmed,false
45,1778875303798,zela,10,1778875303798,1778875303799,897,18232,1,false,confirmed,false
45,1778875305205,baseline,10,1778875305205,1778875305301,,95880,1,false,confirmed,false
46,1778875306006,zela,10,1778875306006,1778875306007,861,18388,1,false,confirmed,false
46,1778875307409,baseline,10,1778875307409,1778875307473,,63933,1,false,confirmed,false
47,1778875308273,zela,10,1778875308273,1778875308274,853,447363,1,false,confirmed,false
47,1778875310004,baseline,10,1778875310004,1778875310089,,84673,1,false,confirmed,false
48,1778875310893,zela,10,1778875310893,1778875310893,677,446929,1,false,confirmed,false
48,1778875312622,baseline,10,1778875312622,1778875312700,,78439,1,false,confirmed,false
49,1778875313406,zela,10,1778875313406,1778875313407,917,18590,1,false,confirmed,false
49,1778875314809,baseline,10,1778875314809,1778875314901,,91411,1,false,confirmed,false
50,1778875315647,zela,10,1778875315647,1778875315674,26729,217228,1,false,confirmed,false
50,1778875317208,baseline,10,1778875317208,1778875317332,,124765,1,false,confirmed,false
51,1778875318045,zela,10,1778875318045,1778875318046,999,18707,1,false,confirmed,false
51,1778875319450,baseline,10,1778875319450,1778875319517,,66853,1,false,confirmed,false
52,1778875320216,zela,10,1778875320216,1778875320217,867,18263,1,false,confirmed,false
52,1778875321620,baseline,10,1778875321620,1778875321706,,86293,1,false,confirmed,false
53,1778875322410,zela,10,1778875322410,1778875322411,937,18276,1,false,confirmed,false
53,1778875323810,baseline,10,1778875323810,1778875323894,,83707,1,false,confirmed,false
54,1778875324637,zela,10,1778875324637,1778875324639,2042,174502,1,false,confirmed,false
54,1778875326154,baseline,10,1778875326154,1778875326245,,90871,1,false,confirmed,false
55,1778875326942,zela,10,1778875326942,1778875326945,2436,18752,1,false,confirmed,false
55,1778875328348,baseline,10,1778875328348,1778875328507,,158352,1,false,confirmed,false
56,1778875329229,zela,10,1778875329229,1778875329230,1027,18419,1,false,confirmed,false
56,1778875330635,baseline,10,1778875330635,1778875330788,,153097,1,false,confirmed,false
57,1778875331561,zela,10,1778875331561,1778875331611,50238,381409,1,false,confirmed,false
57,1778875333265,baseline,10,1778875333265,1778875333364,,98241,1,false,confirmed,false
58,1778875334065,zela,10,1778875334065,1778875334066,1101,18478,1,false,confirmed,false
58,1778875335467,baseline,10,1778875335467,1778875335563,,96108,1,false,confirmed,false
59,1778875336265,zela,10,1778875336265,1778875336266,1121,18934,1,false,confirmed,false
59,1778875337675,baseline,10,1778875337675,1778875337758,,82848,1,false,confirmed,false
60,1778875338461,zela,10,1778875338461,1778875338462,1119,18735,1,false,confirmed,false
60,1778875339866,baseline,10,1778875339866,1778875339946,,79965,1,false,confirmed,false
61,1778875340707,zela,10,1778875340707,1778875340712,5026,218804,1,false,confirmed,false
61,1778875342252,baseline,10,1778875342252,1778875342346,,93388,1,false,confirmed,false
62,1778875343054,zela,10,1778875343054,1778875343055,1088,18578,1,false,confirmed,false
62,1778875344460,baseline,10,1778875344460,1778875344527,,67809,1,false,confirmed,false
63,1778875345271,zela,10,1778875345271,1778875345272,1100,19006,1,false,confirmed,false
63,1778875346674,baseline,10,1778875346674,1778875346771,,96651,1,false,confirmed,false
64,1778875347484,zela,10,1778875347484,1778875347487,2347,20163,1,false,confirmed,false
64,1778875348893,baseline,10,1778875348893,1778875349004,,111042,1,false,confirmed,false
65,1778875349759,zela,10,1778875349759,1778875349776,16432,193987,1,false,confirmed,false
65,1778875351293,baseline,10,1778875351293,1778875351372,,78909,1,false,confirmed,false
66,1778875352077,zela,10,1778875352077,1778875352078,1087,18742,1,false,confirmed,false
66,1778875353480,baseline,10,1778875353480,1778875353575,,95167,1,false,confirmed,false
67,1778875354281,zela,10,1778875354281,1778875354282,1030,18390,1,false,confirmed,false
67,1778875355685,baseline,10,1778875355685,1778875355775,,89541,1,false,confirmed,false
68,1778875356481,zela,10,1778875356481,1778875356482,1067,18690,1,false,confirmed,false
68,1778875357882,baseline,10,1778875357882,1778875357974,,92277,1,false,confirmed,false
69,1778875358678,zela,10,1778875358678,1778875358679,1040,18903,1,false,confirmed,false
69,1778875360080,baseline,10,1778875360080,1778875360175,,95332,1,false,confirmed,false
70,1778875360885,zela,10,1778875360885,1778875360886,1036,18275,1,false,confirmed,false
70,1778875362291,baseline,10,1778875362291,1778875362425,,134238,1,false,confirmed,false
71,1778875363247,zela,10,1778875363247,1778875363249,2848,449377,1,false,confirmed,false
71,1778875364985,baseline,10,1778875364985,1778875365091,,105929,1,false,confirmed,false
72,1778875365795,zela,10,1778875365795,1778875365796,1191,18554,1,false,confirmed,false
72,1778875367197,baseline,10,1778875367197,1778875367263,,65762,1,false,confirmed,false
73,1778875367963,zela,10,1778875367963,1778875367964,1163,18865,1,false,confirmed,false
73,1778875369366,baseline,10,1778875369366,1778875369450,,83904,1,false,confirmed,false
74,1778875370161,zela,10,1778875370161,1778875370162,1054,17652,1,false,confirmed,false
74,1778875371562,baseline,10,1778875371562,1778875371657,,94367,1,false,confirmed,false
75,1778875372373,zela,10,1778875372373,1778875372374,994,18282,1,false,confirmed,false
75,1778875373777,baseline,10,1778875373777,1778875373888,,111086,1,false,confirmed,false
76,1778875374631,zela,10,1778875374631,1778875374659,28896,221538,1,false,confirmed,false
76,1778875376195,baseline,10,1778875376195,1778875376315,,119381,1,false,confirmed,false
77,1778875377016,zela,10,1778875377016,1778875377017,1043,18985,1,false,confirmed,false
77,1778875378419,baseline,10,1778875378419,1778875378512,,93231,1,false,confirmed,false
78,1778875379228,zela,10,1778875379228,1778875379229,950,18135,1,false,confirmed,false
78,1778875380633,baseline,10,1778875380633,1778875380746,,113039,1,false,confirmed,false
79,1778875381474,zela,10,1778875381474,1778875381475,957,19693,1,false,confirmed,false
79,1778875382878,baseline,10,1778875382878,1778875382970,,91358,1,false,confirmed,false
80,1778875383671,zela,10,1778875383671,1778875383672,908,17987,1,false,confirmed,false
80,1778875385076,baseline,10,1778875385076,1778875385165,,89398,1,false,confirmed,false
81,1778875385869,zela,10,1778875385869,1778875385870,892,18267,1,false,confirmed,false
81,1778875387270,baseline,10,1778875387270,1778875387355,,85046,1,false,confirmed,false
82,1778875388119,zela,10,1778875388119,1778875388197,77833,410987,1,false,confirmed,false
82,1778875389856,baseline,10,1778875389856,1778875389950,,93614,1,false,confirmed,false
83,1778875390653,zela,10,1778875390653,1778875390654,968,18550,1,false,confirmed,false
83,1778875392059,baseline,10,1778875392059,1778875392166,,107059,1,false,confirmed,false
84,1778875392923,zela,10,1778875392923,1778875392953,30243,220514,1,false,confirmed,false
84,1778875394488,baseline,10,1778875394488,1778875394594,,106617,1,false,confirmed,false
85,1778875395297,zela,10,1778875395297,1778875395298,990,18105,1,false,confirmed,false
85,1778875396695,baseline,10,1778875396695,1778875396783,,88202,1,false,confirmed,false
86,1778875397485,zela,10,1778875397485,1778875397486,937,18332,1,false,confirmed,false
86,1778875398893,baseline,10,1778875398893,1778875398983,,89569,1,false,confirmed,false
87,1778875399726,zela,10,1778875399726,1778875399744,18177,211870,1,false,confirmed,false
87,1778875401282,baseline,10,1778875401282,1778875401376,,93995,1,false,confirmed,false
88,1778875402080,zela,10,1778875402080,1778875402081,897,18358,1,false,confirmed,false
88,1778875403483,baseline,10,1778875403483,1778875403599,,116578,1,false,confirmed,false
89,1778875404307,zela,10,1778875404307,1778875404308,954,18511,1,false,confirmed,false
89,1778875405713,baseline,10,1778875405713,1778875405794,,81105,1,false,confirmed,false
90,1778875406497,zela,10,1778875406497,1778875406498,886,18589,1,false,confirmed,false
90,1778875407905,baseline,10,1778875407905,1778875407999,,93818,1,false,confirmed,false
91,1778875408703,zela,10,1778875408703,1778875408704,930,18395,1,false,confirmed,false
91,1778875410106,baseline,10,1778875410106,1778875410197,,91350,1,false,confirmed,false
92,1778875410902,zela,10,1778875410902,1778875410903,843,18578,1,false,confirmed,false
92,1778875412307,baseline,10,1778875412307,1778875412432,,124889,1,false,confirmed,false
93,1778875413160,zela,10,1778875413160,1778875413161,912,20636,1,false,confirmed,false
93,1778875414566,baseline,10,1778875414566,1778875414677,,111030,1,false,confirmed,false
94,1778875415391,zela,10,1778875415391,1778875415392,865,18388,1,false,confirmed,false
94,1778875416801,baseline,10,1778875416801,1778875416894,,93046,1,false,confirmed,false
95,1778875417639,zela,10,1778875417639,1778875417673,33534,233484,1,false,confirmed,false
95,1778875419219,baseline,10,1778875419219,1778875419315,,96422,1,false,confirmed,false
96,1778875420016,zela,10,1778875420016,1778875420017,1085,18868,1,false,confirmed,false
96,1778875421422,baseline,10,1778875421422,1778875421517,,94466,1,false,confirmed,false
97,1778875422325,zela,10,1778875422325,1778875422326,899,447437,1,false,confirmed,false
97,1778875424057,baseline,10,1778875424057,1778875424144,,87145,1,false,confirmed,false
98,1778875424889,zela,10,1778875424889,1778875424907,17663,216858,1,false,confirmed,false
98,1778875426453,baseline,10,1778875426453,1778875426545,,92579,1,false,confirmed,false
99,1778875427248,zela,10,1778875427248,1778875427249,966,18278,1,false,confirmed,false
99,1778875428652,baseline,10,1778875428652,1778875428758,,106310,1,false,confirmed,false
100,1778875429535,zela,10,1778875429535,1778875429618,83232,414701,1,false,confirmed,false
100,1778875431274,baseline,10,1778875431274,1778875431363,,89499,1,false,confirmed,false
