run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778392801241,zela,10,1778392801241,1778392801242,1196,404241,1,true,confirmed,false
1,1778392803324,baseline,10,1778392803324,1778392803421,,97099,1,true,confirmed,false
2,1778392803520,zela,10,1778392803520,1778392803521,1056,18374,1,true,confirmed,false
2,1778392805561,baseline,10,1778392805561,1778392805661,,100398,1,true,confirmed,false
3,1778392805728,zela,10,1778392805728,1778392805729,937,18081,1,true,confirmed,false
3,1778392807769,baseline,10,1778392807769,1778392807864,,95724,1,true,confirmed,false
4,1778392807968,zela,10,1778392807968,1778392807969,933,18393,1,true,confirmed,false
4,1778392810010,baseline,10,1778392810010,1778392810128,,118344,1,true,confirmed,false
5,1778392810871,zela,10,1778392810871,1778392810872,643,1068641,1,true,confirmed,false
5,1778392813317,baseline,10,1778392813317,1778392813384,,66767,1,true,confirmed,false
6,1778392813446,zela,10,1778392813446,1778392813447,954,20850,1,false,confirmed,false
6,1778392815493,baseline,10,1778392815493,1778392815567,,74621,1,false,confirmed,false
7,1778392815641,zela,10,1778392815641,1778392815642,1027,19454,1,false,confirmed,false
7,1778392817682,baseline,10,1778392817682,1778392817762,,80262,1,false,confirmed,false
8,1778392817824,zela,10,1778392817824,1778392817825,985,18205,1,false,confirmed,false
8,1778392819864,baseline,10,1778392819864,1778392819953,,89033,1,false,confirmed,false
9,1778392820021,zela,10,1778392820021,1778392820022,1046,21582,1,false,confirmed,false
9,1778392822068,baseline,10,1778392822068,1778392822154,,85661,1,false,confirmed,false
10,1778392822262,zela,10,1778392822262,1778392822289,26410,222844,1,false,confirmed,false
10,1778392824466,baseline,10,1778392824466,1778392824566,,100079,1,false,confirmed,false
11,1778392824635,zela,10,1778392824635,1778392824636,931,18795,1,false,confirmed,false
11,1778392826679,baseline,10,1778392826679,1778392826764,,85149,1,false,confirmed,false
12,1778392826842,zela,10,1778392826842,1778392826843,1136,18835,1,false,confirmed,false
12,1778392828884,baseline,10,1778392828884,1778392828954,,70349,1,false,confirmed,false
13,1778392829085,zela,10,1778392829085,1778392829107,22300,223669,1,false,confirmed,false
13,1778392831292,baseline,10,1778392831292,1778392831383,,90688,1,false,confirmed,false
14,1778392831449,zela,10,1778392831449,1778392831450,888,19134,1,false,confirmed,false
14,1778392833489,baseline,10,1778392833489,1778392833601,,111912,1,false,confirmed,false
15,1778392833703,zela,10,1778392833703,1778392833726,23144,225482,1,false,confirmed,false
15,1778392835910,baseline,10,1778392835910,1778392836025,,114754,1,false,confirmed,false
16,1778392836095,zela,10,1778392836095,1778392836096,1050,16824,1,false,confirmed,false
16,1778392838138,baseline,10,1778392838138,1778392838267,,128800,1,false,confirmed,false
17,1778392838336,zela,10,1778392838336,1778392838337,886,18674,1,false,confirmed,false
17,1778392840376,baseline,10,1778392840376,1778392840466,,89201,1,false,confirmed,false
18,1778392840528,zela,10,1778392840528,1778392840529,882,18086,1,false,confirmed,false
18,1778392842567,baseline,10,1778392842567,1778392842652,,85496,1,false,confirmed,false
19,1778392842762,zela,10,1778392842762,1778392842787,25398,232731,1,false,confirmed,false
19,1778392844975,baseline,10,1778392844975,1778392845065,,90548,1,false,confirmed,false
20,1778392845131,zela,10,1778392845131,1778392845132,959,17628,1,false,confirmed,false
20,1778392847173,baseline,10,1778392847173,1778392847256,,83199,1,false,confirmed,false
21,1778392847318,zela,10,1778392847318,1778392847319,920,18817,1,false,confirmed,false
21,1778392849357,baseline,10,1778392849357,1778392849488,,130181,1,false,confirmed,false
22,1778392849564,zela,10,1778392849564,1778392849565,898,18308,1,false,confirmed,false
22,1778392851603,baseline,10,1778392851603,1778392851700,,97557,1,false,confirmed,false
23,1778392851769,zela,10,1778392851769,1778392851770,886,18111,1,false,confirmed,false
23,1778392853810,baseline,10,1778392853810,1778392853893,,82192,1,false,confirmed,false
24,1778392853961,zela,10,1778392853961,1778392853962,984,18875,1,false,confirmed,false
24,1778392856003,baseline,10,1778392856003,1778392856089,,86624,1,false,confirmed,false
25,1778392856164,zela,10,1778392856164,1778392856165,795,18138,1,false,confirmed,false
25,1778392858202,baseline,10,1778392858202,1778392858297,,95171,1,false,confirmed,false
26,1778392858361,zela,10,1778392858361,1778392858362,885,18357,1,false,confirmed,false
26,1778392860399,baseline,10,1778392860399,1778392860490,,90435,1,false,confirmed,false
27,1778392860546,zela,10,1778392860546,1778392860547,847,18028,1,false,confirmed,false
27,1778392862587,baseline,10,1778392862587,1778392862675,,87460,1,false,confirmed,false
28,1778392862737,zela,10,1778392862737,1778392862738,897,18103,1,false,confirmed,false
28,1778392864781,baseline,10,1778392864781,1778392864894,,113807,1,false,confirmed,false
29,1778392864968,zela,10,1778392864968,1778392864969,850,18131,1,false,confirmed,false
29,1778392867008,baseline,10,1778392867008,1778392867095,,86564,1,false,confirmed,false
30,1778392867159,zela,10,1778392867159,1778392867160,820,18329,1,false,confirmed,false
30,1778392869201,baseline,10,1778392869201,1778392869303,,102012,1,false,confirmed,false
31,1778392869362,zela,10,1778392869362,1778392869363,912,16886,1,false,confirmed,false
31,1778392871404,baseline,10,1778392871404,1778392871487,,83359,1,false,confirmed,false
32,1778392871609,zela,10,1778392871609,1778392871638,28827,233938,1,false,confirmed,false
32,1778392873825,baseline,10,1778392873825,1778392873931,,105836,1,false,confirmed,false
33,1778392873993,zela,10,1778392873993,1778392873994,884,18714,1,false,confirmed,false
33,1778392876035,baseline,10,1778392876035,1778392876139,,103415,1,false,confirmed,false
34,1778392876217,zela,10,1778392876217,1778392876218,1057,19131,1,false,confirmed,false
34,1778392878256,baseline,10,1778392878256,1778392878359,,102641,1,false,confirmed,false
