run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778238002233,zela,10,1778238002233,1778238002253,20185,369139,1,true,confirmed,false
1,1778238003657,baseline,10,1778238003657,1778238003853,,196119,1,true,confirmed,false
2,1778238004787,zela,10,1778238004787,1778238004788,1173,19425,1,true,confirmed,false
2,1778238006024,baseline,10,1778238006024,1778238006137,,112815,1,true,confirmed,false
3,1778238007087,zela,10,1778238007087,1778238007088,908,18880,1,true,confirmed,false
3,1778238008312,baseline,10,1778238008312,1778238008432,,119637,1,true,confirmed,false
4,1778238009391,zela,10,1778238009391,1778238009444,52823,408070,1,true,confirmed,false
4,1778238010939,baseline,10,1778238010939,1778238011099,,159934,1,true,confirmed,false
5,1778238012004,zela,10,1778238012004,1778238012005,1133,18019,1,true,confirmed,false
5,1778238013227,baseline,10,1778238013227,1778238013361,,134516,1,true,confirmed,false
6,1778238014275,zela,10,1778238014275,1778238014276,1015,19360,1,false,confirmed,false
6,1778238015498,baseline,10,1778238015498,1778238015599,,100807,1,false,confirmed,false
7,1778238016488,zela,10,1778238016488,1778238016489,978,18477,1,false,confirmed,false
7,1778238017705,baseline,10,1778238017705,1778238017821,,116964,1,false,confirmed,false
8,1778238018776,zela,10,1778238018776,1778238018804,27509,220402,1,false,confirmed,false
8,1778238020170,baseline,10,1778238020170,1778238020269,,98830,1,false,confirmed,false
9,1778238021208,zela,10,1778238021208,1778238021226,18336,212002,1,false,confirmed,false
9,1778238022583,baseline,10,1778238022583,1778238022691,,107744,1,false,confirmed,false
10,1778238023623,zela,10,1778238023623,1778238023639,16111,216382,1,false,confirmed,false
10,1778238025003,baseline,10,1778238025003,1778238025124,,121721,1,false,confirmed,false
11,1778238026026,zela,10,1778238026026,1778238026027,949,18147,1,false,confirmed,false
11,1778238027249,baseline,10,1778238027249,1778238027351,,102189,1,false,confirmed,false
12,1778238028235,zela,10,1778238028235,1778238028235,927,18215,1,false,confirmed,false
12,1778238029454,baseline,10,1778238029454,1778238029559,,105134,1,false,confirmed,false
13,1778238030489,zela,10,1778238030489,1778238030512,23228,224520,1,false,confirmed,false
13,1778238031876,baseline,10,1778238031876,1778238031961,,84906,1,false,confirmed,false
14,1778238032848,zela,10,1778238032848,1778238032849,1088,18182,1,false,confirmed,false
14,1778238034085,baseline,10,1778238034085,1778238034218,,132945,1,false,confirmed,false
15,1778238035129,zela,10,1778238035129,1778238035130,937,18633,1,false,confirmed,false
15,1778238036350,baseline,10,1778238036350,1778238036455,,105938,1,false,confirmed,false
16,1778238037354,zela,10,1778238037354,1778238037355,919,18198,1,false,confirmed,false
16,1778238038577,baseline,10,1778238038577,1778238038657,,79799,1,false,confirmed,false
17,1778238039544,zela,10,1778238039544,1778238039545,987,16537,1,false,confirmed,false
17,1778238040761,baseline,10,1778238040761,1778238040844,,83319,1,false,confirmed,false
18,1778238041827,zela,10,1778238041827,1778238041828,868,464999,1,false,confirmed,false
18,1778238043394,baseline,10,1778238043394,1778238043489,,95127,1,false,confirmed,false
19,1778238044378,zela,10,1778238044378,1778238044379,978,16903,1,false,confirmed,false
19,1778238045595,baseline,10,1778238045595,1778238045716,,120769,1,false,confirmed,false
20,1778238046618,zela,10,1778238046618,1778238046619,898,18599,1,false,confirmed,false
20,1778238047846,baseline,10,1778238047846,1778238047936,,90181,1,false,confirmed,false
21,1778238048924,zela,10,1778238048924,1778238048924,637,464101,1,false,confirmed,false
21,1778238050491,baseline,10,1778238050491,1778238050575,,83145,1,false,confirmed,false
22,1778238051467,zela,10,1778238051467,1778238051468,896,18092,1,false,confirmed,false
22,1778238052689,baseline,10,1778238052689,1778238052786,,96660,1,false,confirmed,false
23,1778238053684,zela,10,1778238053684,1778238053685,910,16024,1,false,confirmed,false
23,1778238054908,baseline,10,1778238054908,1778238054997,,89072,1,false,confirmed,false
24,1778238055978,zela,10,1778238055978,1778238055979,670,462994,1,false,confirmed,false
24,1778238057546,baseline,10,1778238057546,1778238057708,,162147,1,false,confirmed,false
25,1778238058617,zela,10,1778238058617,1778238058618,947,18490,1,false,confirmed,false
25,1778238059835,baseline,10,1778238059835,1778238059907,,71534,1,false,confirmed,false
26,1778238060794,zela,10,1778238060794,1778238060795,883,18323,1,false,confirmed,false
26,1778238062015,baseline,10,1778238062015,1778238062105,,89674,1,false,confirmed,false
27,1778238062991,zela,10,1778238062991,1778238062992,967,18202,1,false,confirmed,false
27,1778238064220,baseline,10,1778238064220,1778238064422,,202362,1,false,confirmed,false
28,1778238065439,zela,10,1778238065439,1778238065440,642,464828,1,false,confirmed,false
28,1778238067008,baseline,10,1778238067008,1778238067117,,108771,1,false,confirmed,false
29,1778238068039,zela,10,1778238068039,1778238068040,892,18432,1,false,confirmed,false
29,1778238069260,baseline,10,1778238069260,1778238069375,,114776,1,false,confirmed,false
30,1778238070266,zela,10,1778238070266,1778238070271,4067,20967,1,false,confirmed,false
30,1778238071490,baseline,10,1778238071490,1778238071626,,136306,1,false,confirmed,false
31,1778238072529,zela,10,1778238072529,1778238072530,877,18353,1,false,confirmed,false
31,1778238073749,baseline,10,1778238073749,1778238073833,,84239,1,false,confirmed,false
32,1778238074729,zela,10,1778238074729,1778238074730,934,18443,1,false,confirmed,false
32,1778238075949,baseline,10,1778238075949,1778238076057,,107397,1,false,confirmed,false
33,1778238076944,zela,10,1778238076944,1778238076945,1090,18416,1,false,confirmed,false
33,1778238078169,baseline,10,1778238078169,1778238078274,,105531,1,false,confirmed,false
34,1778238079170,zela,10,1778238079170,1778238079170,847,18524,1,false,confirmed,false
34,1778238080392,baseline,10,1778238080392,1778238080514,,122061,1,false,confirmed,false
35,1778238081507,zela,10,1778238081507,1778238081508,846,465168,1,false,confirmed,false
35,1778238083077,baseline,10,1778238083077,1778238083166,,89273,1,false,confirmed,false
36,1778238084058,zela,10,1778238084058,1778238084059,1085,19060,1,false,confirmed,false
36,1778238085277,baseline,10,1778238085277,1778238085390,,112424,1,false,confirmed,false
37,1778238086316,zela,10,1778238086316,1778238086340,24017,226115,1,false,confirmed,false
37,1778238087705,baseline,10,1778238087705,1778238087799,,93884,1,false,confirmed,false
38,1778238088700,zela,10,1778238088700,1778238088701,1019,18735,1,false,confirmed,false
38,1778238089921,baseline,10,1778238089921,1778238090036,,114840,1,false,confirmed,false
39,1778238090929,zela,10,1778238090929,1778238090930,970,18335,1,false,confirmed,false
39,1778238092146,baseline,10,1778238092146,1778238092265,,119030,1,false,confirmed,false
40,1778238093167,zela,10,1778238093167,1778238093168,860,18561,1,false,confirmed,false
40,1778238094386,baseline,10,1778238094386,1778238094539,,152537,1,false,confirmed,false
41,1778238095437,zela,10,1778238095437,1778238095438,860,18469,1,false,confirmed,false
41,1778238096659,baseline,10,1778238096659,1778238096751,,91831,1,false,confirmed,false
42,1778238097737,zela,10,1778238097737,1778238097738,871,464839,1,false,confirmed,false
42,1778238099310,baseline,10,1778238099310,1778238099421,,111074,1,false,confirmed,false
43,1778238100316,zela,10,1778238100316,1778238100317,927,18567,1,false,confirmed,false
43,1778238101540,baseline,10,1778238101540,1778238101658,,118304,1,false,confirmed,false
