dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_04_2200,6,417600231,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,(no name),Frankfurt am Main,DE,17746,17.75,fr2,fr2,yes
dataset_2026_05_04_2200,7,417600237,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Amsterdam,NL,17388,17.39,fr2,fr2,yes
dataset_2026_05_04_2200,8,417600243,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,Alchemy,be101.rbx-g4-nc5.fr.eu,,17327,17.33,fr2,unknown,no
dataset_2026_05_04_2200,9,417600249,,(no data),,,640216,640.22,tyo,unknown,no
dataset_2026_05_04_2200,10,417600256,,(no data),,,16360,16.36,fr2,unknown,no
dataset_2026_05_04_2200,11,417600262,,(no data),,,16920,16.92,fr2,unknown,no
dataset_2026_05_04_2200,12,417600268,,(no data),,,238365,238.37,mid,unknown,no
dataset_2026_05_04_2200,13,417600274,,(no data),,,19609,19.61,fr2,unknown,no
dataset_2026_05_04_2200,14,417600280,,(no data),,,228848,228.85,mid,unknown,no
dataset_2026_05_04_2200,15,417600286,,(no data),,,16699,16.70,fr2,unknown,no
dataset_2026_05_04_2200,16,417600291,,(no data),,,246180,246.18,mid,unknown,no
dataset_2026_05_04_2200,17,417600297,,(no data),,,16622,16.62,fr2,unknown,no
dataset_2026_05_04_2200,18,417600304,,(no data),,,17254,17.25,fr2,unknown,no
dataset_2026_05_04_2200,19,417600309,,(no data),,,18037,18.04,fr2,unknown,no
dataset_2026_05_04_2200,20,417600315,,(no data),,,15991,15.99,fr2,unknown,no
dataset_2026_05_04_2200,21,417600321,,(no data),,,16904,16.90,fr2,unknown,no
dataset_2026_05_04_2200,22,417600326,,(no data),,,16188,16.19,fr2,unknown,no
dataset_2026_05_04_2200,23,417600332,,(no data),,,19524,19.52,fr2,unknown,no
dataset_2026_05_04_2200,24,417600337,,(no data),,,234944,234.94,mid,unknown,no
dataset_2026_05_04_2200,25,417600343,,(no data),,,459620,459.62,tyo,unknown,no
dataset_2026_05_04_2200,26,417600350,,(no data),,,18614,18.61,fr2,unknown,no
dataset_2026_05_04_2200,27,417600356,,(no data),,,228880,228.88,mid,unknown,no
dataset_2026_05_04_2200,28,417600362,,(no data),,,18326,18.33,fr2,unknown,no
dataset_2026_05_04_2200,29,417600368,,(no data),,,459653,459.65,tyo,unknown,no
dataset_2026_05_04_2200,30,417600374,,(no data),,,19382,19.38,fr2,unknown,no
dataset_2026_05_04_2200,31,417600380,,(no data),,,17606,17.61,fr2,unknown,no
dataset_2026_05_04_2200,32,417600385,,(no data),,,459687,459.69,tyo,unknown,no
dataset_2026_05_04_2200,33,417600393,,(no data),,,18355,18.36,fr2,unknown,no
dataset_2026_05_04_2200,34,417600398,,(no data),,,16914,16.91,fr2,unknown,no
dataset_2026_05_04_2200,35,417600404,,(no data),,,16919,16.92,fr2,unknown,no
dataset_2026_05_04_2200,36,417600410,,(no data),,,18335,18.34,fr2,unknown,no
dataset_2026_05_04_2200,37,417600416,,(no data),,,17261,17.26,fr2,unknown,no
dataset_2026_05_04_2200,38,417600421,,(no data),,,17745,17.75,fr2,unknown,no
dataset_2026_05_04_2200,39,417600427,,(no data),,,17520,17.52,fr2,unknown,no
dataset_2026_05_04_2200,40,417600433,,(no data),,,18366,18.37,fr2,unknown,no
dataset_2026_05_04_2200,41,417600439,,(no data),,,18265,18.27,fr2,unknown,no
dataset_2026_05_04_2200,42,417600445,,(no data),,,17395,17.39,fr2,unknown,no
dataset_2026_05_04_2200,43,417600448,,(no data),,,19452,19.45,fr2,unknown,no
dataset_2026_05_04_2200,44,417600454,,(no data),,,18167,18.17,fr2,unknown,no
dataset_2026_05_04_2200,45,417600460,,(no data),,,17360,17.36,fr2,unknown,no
dataset_2026_05_04_2200,46,417600465,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Frankfurt am Main,DE,18203,18.20,fr2,fr2,yes
dataset_2026_05_04_2200,47,417600471,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,367652,367.65,slc,fr2,no
dataset_2026_05_04_2200,48,417600477,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,(no name),Tokyo,JP,459743,459.74,tyo,tyo,yes
dataset_2026_05_04_2200,49,417600484,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,Coinbase 03,Tokyo,JP,458484,458.48,tyo,tyo,yes
dataset_2026_05_04_2200,50,417600490,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,16462,16.46,fr2,fr2,yes
dataset_2026_05_04_2200,51,417600496,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,17546,17.55,fr2,mid,no
dataset_2026_05_04_2200,52,417600502,anzaeL7Lsv71HW2mew8YcKGyGqL6qNn3xoNPRrejM73,(no data),,,17790,17.79,fr2,unknown,no
