dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_04_2200,6,417600229,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,(no name),Frankfurt am Main,DE,17746,17.75,fr2,fr2,yes
dataset_2026_05_04_2200,7,417600235,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Coinbase 02,City of London,GB,17388,17.39,fr2,fr2,yes
dataset_2026_05_04_2200,8,417600241,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,Alchemy,be101.rbx-g4-nc5.fr.eu,,17327,17.33,fr2,unknown,no
dataset_2026_05_04_2200,9,417600247,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,640216,640.22,tyo,fr2,no
dataset_2026_05_04_2200,10,417600254,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,melea 🚀 SOL 🤑2K,Amsterdam,NL,16360,16.36,fr2,fr2,yes
dataset_2026_05_04_2200,11,417600260,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,(no name),Frankfurt am Main,DE,16920,16.92,fr2,fr2,yes
dataset_2026_05_04_2200,12,417600266,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,238365,238.37,mid,fr2,no
dataset_2026_05_04_2200,13,417600272,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Frankfurt am Main,DE,19609,19.61,fr2,fr2,yes
dataset_2026_05_04_2200,14,417600278,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,(no name),*,,228848,228.85,mid,unknown,no
dataset_2026_05_04_2200,15,417600284,EKgSCR3ahdypkxXcBY43ZNxdmyZqPkKNPey3rwKjqbz7,(no name),Europe/London,GB,16699,16.70,fr2,fr2,yes
dataset_2026_05_04_2200,16,417600289,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,MARVEL+MEV!,Osasco,BR,246180,246.18,mid,mid,yes
dataset_2026_05_04_2200,17,417600295,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,Pier Two,Frankfurt am Main,DE,16622,16.62,fr2,fr2,yes
