dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_bucket,expected_bucket,match
dataset_2026_05_04_2200,37,417600414,3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,Calypso,16276-FR-Europe/Paris,,17261,17.26,fr2,unknown,no
dataset_2026_05_04_2200,38,417600419,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,Bitwise Onchain Solutions 02,60068-NL-Amsterdam,,17745,17.75,fr2,unknown,no
dataset_2026_05_04_2200,39,417600425,6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,Luganodes,29066-DE-Frankfurt am Main,,17520,17.52,fr2,unknown,no
dataset_2026_05_04_2200,40,417600431,FSyAsxcE7g8pSSEu5nx7Hkz44rMZiYio5Wz8Lszh3Nbi,Honeybee 🐝 +Jito,206264-NL-Europe/Amsterdam,,18366,18.37,fr2,unknown,no
dataset_2026_05_04_2200,41,417600437,3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,,20326-DE-Frankfurt am Main,,18265,18.27,fr2,unknown,no
dataset_2026_05_04_2200,42,417600443,5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,,20326-JP-Tokyo,,17395,17.39,fr2,unknown,no
dataset_2026_05_04_2200,43,417600446,4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,,20326-IE-Dublin,,19452,19.45,fr2,unknown,no
dataset_2026_05_04_2200,44,417600452,9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,400963-GB-Europe/London,,18167,18.17,fr2,unknown,no
dataset_2026_05_04_2200,45,417600458,5essVpBYvocZkQnkrWsMDfRPwtp4BeihJRaweKLR4dRn,Certora Validator,262287-US-New York,,17360,17.36,fr2,unknown,no
dataset_2026_05_04_2200,46,417600463,,,,,18203,18.20,fr2,unknown,no
dataset_2026_05_04_2200,47,417600469,,,,,367652,367.65,slc,unknown,no
dataset_2026_05_04_2200,48,417600475,,,,,459743,459.74,tyo,unknown,no
dataset_2026_05_04_2200,49,417600482,,,,,458484,458.48,tyo,unknown,no
dataset_2026_05_04_2200,50,417600488,,,,,16462,16.46,fr2,unknown,no
dataset_2026_05_04_2200,51,417600494,,,,,17546,17.55,fr2,unknown,no
dataset_2026_05_04_2200,52,417600500,,,,,17790,17.79,fr2,unknown,no
dataset_2026_05_04_2200,53,417600506,,,,,18125,18.12,fr2,unknown,no
dataset_2026_05_04_2200,54,417600511,,,,,18132,18.13,fr2,unknown,no
dataset_2026_05_04_2200,55,417600517,,,,,190737,190.74,ewr,unknown,no
dataset_2026_05_04_2200,56,417600523,,,,,18006,18.01,fr2,unknown,no
dataset_2026_05_04_2200,57,417600528,,,,,17083,17.08,fr2,unknown,no
dataset_2026_05_04_2200,58,417600535,,,,,15986,15.99,fr2,unknown,no
dataset_2026_05_04_2200,59,417600540,,,,,486505,486.50,tyo,unknown,no
dataset_2026_05_04_2200,60,417600547,,,,,16415,16.41,fr2,unknown,no
dataset_2026_05_04_2200,61,417600553,,,,,17971,17.97,fr2,unknown,no
dataset_2026_05_04_2200,62,417600558,,,,,16502,16.50,fr2,unknown,no
dataset_2026_05_04_2200,63,417600564,,,,,16496,16.50,fr2,unknown,no
dataset_2026_05_04_2200,64,417600570,,,,,16899,16.90,fr2,unknown,no
dataset_2026_05_04_2200,65,417600575,,,,,16131,16.13,fr2,unknown,no
dataset_2026_05_04_2200,66,417600581,,,,,15760,15.76,fr2,unknown,no
dataset_2026_05_04_2200,67,417600586,,,,,17103,17.10,fr2,unknown,no
dataset_2026_05_04_2200,68,417600592,,,,,17529,17.53,fr2,unknown,no
dataset_2026_05_04_2200,69,417600597,,,,,16010,16.01,fr2,unknown,no
dataset_2026_05_04_2200,70,417600603,,,,,199565,199.56,ewr,unknown,no
dataset_2026_05_04_2200,71,417600609,,,,,16361,16.36,fr2,unknown,no
dataset_2026_05_04_2200,72,417600615,,,,,16816,16.82,fr2,unknown,no
dataset_2026_05_04_2200,73,417600621,,,,,16648,16.65,fr2,unknown,no
dataset_2026_05_04_2200,74,417600626,,,,,16308,16.31,fr2,unknown,no
dataset_2026_05_04_2200,75,417600632,,,,,16353,16.35,fr2,unknown,no
dataset_2026_05_04_2200,76,417600637,,,,,459329,459.33,tyo,unknown,no
dataset_2026_05_04_2200,77,417600644,,,,,198146,198.15,ewr,unknown,no
dataset_2026_05_04_2200,78,417600650,,,,,458178,458.18,tyo,unknown,no
dataset_2026_05_04_2200,79,417600657,,,,,16935,16.93,fr2,unknown,no
dataset_2026_05_04_2200,80,417600663,,,,,16884,16.88,fr2,unknown,no
dataset_2026_05_04_2200,81,417600669,,,,,459224,459.22,tyo,unknown,no
dataset_2026_05_04_2200,82,417600675,,,,,460054,460.05,tyo,unknown,no
dataset_2026_05_04_2200,83,417600682,,,,,458515,458.51,tyo,unknown,no
dataset_2026_05_04_2200,84,417600689,,,,,17252,17.25,fr2,unknown,no
dataset_2026_05_04_2200,85,417600695,,,,,17690,17.69,fr2,unknown,no
dataset_2026_05_04_2200,86,417600700,,,,,458091,458.09,tyo,unknown,no
dataset_2026_05_04_2200,87,417600707,,,,,16517,16.52,fr2,unknown,no
dataset_2026_05_04_2200,88,417600713,,,,,19307,19.31,fr2,unknown,no
dataset_2026_05_04_2200,89,417600719,,,,,16826,16.83,fr2,unknown,no
dataset_2026_05_04_2200,90,417600725,,,,,17893,17.89,fr2,unknown,no
dataset_2026_05_04_2200,91,417600731,,,,,16479,16.48,fr2,unknown,no
dataset_2026_05_04_2200,92,417600737,,,,,17203,17.20,fr2,unknown,no
dataset_2026_05_04_2200,93,417600743,,,,,543221,543.22,tyo,unknown,no
dataset_2026_05_04_2200,94,417600749,,,,,20440,20.44,fr2,unknown,no
dataset_2026_05_04_2200,95,417600754,,,,,460983,460.98,tyo,unknown,no
dataset_2026_05_04_2200,96,417600761,,,,,459301,459.30,tyo,unknown,no
dataset_2026_05_04_2200,97,417600768,,,,,563709,563.71,tyo,unknown,no
dataset_2026_05_04_2200,98,417600774,,,,,412264,412.26,slc,unknown,no
dataset_2026_05_04_2200,99,417600781,,,,,17981,17.98,fr2,unknown,no
dataset_2026_05_04_2200,100,417600786,,,,,16377,16.38,fr2,unknown,no
dataset_2026_05_06_1655,6,417987308,,,,,460922,460.92,tyo,unknown,no
dataset_2026_05_06_1655,7,417987315,,,,,458860,458.86,tyo,unknown,no
dataset_2026_05_06_1655,8,417987322,,,,,17543,17.54,fr2,unknown,no
dataset_2026_05_06_1655,9,417987327,,,,,16191,16.19,fr2,unknown,no
dataset_2026_05_06_1655,10,417987333,,,,,18593,18.59,fr2,unknown,no
dataset_2026_05_06_1655,11,417987339,,,,,458882,458.88,tyo,unknown,no
dataset_2026_05_06_1655,12,417987345,,,,,18559,18.56,fr2,unknown,no
dataset_2026_05_06_1655,13,417987351,,,,,458492,458.49,tyo,unknown,no
dataset_2026_05_06_1655,14,417987358,,,,,549652,549.65,tyo,unknown,no
dataset_2026_05_06_1655,15,417987364,,,,,18703,18.70,fr2,unknown,no
dataset_2026_05_06_1655,16,417987370,,,,,17991,17.99,fr2,unknown,no
dataset_2026_05_06_1655,17,417987375,,,,,190470,190.47,ewr,unknown,no
dataset_2026_05_06_1655,18,417987381,,,,,19904,19.90,fr2,unknown,no
dataset_2026_05_06_1655,19,417987387,,,,,189658,189.66,ewr,unknown,no
dataset_2026_05_06_1655,20,417987393,,,,,16351,16.35,fr2,unknown,no
dataset_2026_05_06_1655,21,417987398,,,,,191846,191.85,ewr,unknown,no
dataset_2026_05_06_1655,22,417987404,,,,,18566,18.57,fr2,unknown,no
dataset_2026_05_06_1655,23,417987409,,,,,428559,428.56,slc,unknown,no
dataset_2026_05_06_1655,24,417987415,,,,,17826,17.83,fr2,unknown,no
dataset_2026_05_06_1655,25,417987421,,,,,18658,18.66,fr2,unknown,no
dataset_2026_05_06_1655,26,417987427,,,,,16161,16.16,fr2,unknown,no
dataset_2026_05_06_1655,27,417987432,,,,,16567,16.57,fr2,unknown,no
dataset_2026_05_06_1655,28,417987439,,,,,191858,191.86,ewr,unknown,no
dataset_2026_05_06_1655,29,417987444,,,,,189840,189.84,ewr,unknown,no
dataset_2026_05_06_1655,30,417987451,,,,,18288,18.29,fr2,unknown,no
dataset_2026_05_06_1655,31,417987456,,,,,16879,16.88,fr2,unknown,no
dataset_2026_05_06_1655,32,417987462,,,,,17629,17.63,fr2,unknown,no
dataset_2026_05_06_1655,33,417987468,,,,,18316,18.32,fr2,unknown,no
dataset_2026_05_06_1655,34,417987474,,,,,458402,458.40,tyo,unknown,no
dataset_2026_05_06_1655,35,417987481,,,,,18510,18.51,fr2,unknown,no
dataset_2026_05_06_1655,36,417987486,,,,,18966,18.97,fr2,unknown,no
dataset_2026_05_06_1655,37,417987491,,,,,461339,461.34,tyo,unknown,no
dataset_2026_05_06_1655,38,417987498,,,,,18362,18.36,fr2,unknown,no
dataset_2026_05_06_1655,39,417987504,,,,,18300,18.30,fr2,unknown,no
dataset_2026_05_06_1655,40,417987510,,,,,191472,191.47,ewr,unknown,no
dataset_2026_05_06_1655,41,417987516,,,,,460007,460.01,tyo,unknown,no
dataset_2026_05_06_1655,42,417987522,,,,,18043,18.04,fr2,unknown,no
dataset_2026_05_06_1655,43,417987528,,,,,18221,18.22,fr2,unknown,no
dataset_2026_05_06_1655,44,417987534,,,,,192097,192.10,ewr,unknown,no
dataset_2026_05_06_1655,45,417987540,,,,,18727,18.73,fr2,unknown,no
dataset_2026_05_06_1655,46,417987545,,,,,427879,427.88,slc,unknown,no
dataset_2026_05_06_1655,47,417987552,,,,,191581,191.58,ewr,unknown,no
dataset_2026_05_06_1655,48,417987558,,,,,19673,19.67,fr2,unknown,no
dataset_2026_05_06_1655,49,417987564,,,,,17514,17.51,fr2,unknown,no
dataset_2026_05_06_1655,50,417987570,,,,,18984,18.98,fr2,unknown,no
dataset_2026_05_06_1655,51,417987576,,,,,459750,459.75,tyo,unknown,no
dataset_2026_05_06_1655,52,417987582,,,,,18009,18.01,fr2,unknown,no
dataset_2026_05_06_1655,53,417987588,,,,,17695,17.70,fr2,unknown,no
dataset_2026_05_06_1655,54,417987594,,,,,460676,460.68,tyo,unknown,no
