run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778270401850,zela,10,1778270401850,1778270401850,698,567701,1,true,confirmed,false
1,1778270403622,baseline,10,1778270403622,1778270403727,,104905,1,true,confirmed,false
2,1778270404475,zela,10,1778270404475,1778270404476,1092,19208,1,true,confirmed,false
2,1778270405871,baseline,10,1778270405871,1778270405972,,100232,1,true,confirmed,false
3,1778270406725,zela,10,1778270406725,1778270406726,931,18283,1,true,confirmed,false
3,1778270408118,baseline,10,1778270408118,1778270408211,,92096,1,true,confirmed,false
4,1778270409013,zela,10,1778270409013,1778270409013,865,465676,1,true,confirmed,false
4,1778270410768,baseline,10,1778270410768,1778270410880,,112130,1,true,confirmed,false
5,1778270411601,zela,10,1778270411601,1778270411602,978,18524,1,true,confirmed,false
5,1778270413000,baseline,10,1778270413000,1778270413092,,91834,1,true,confirmed,false
6,1778270413829,zela,10,1778270413829,1778270413833,3798,32185,1,false,confirmed,false
6,1778270415235,baseline,10,1778270415235,1778270415392,,157759,1,false,confirmed,false
7,1778270416224,zela,10,1778270416224,1778270416225,964,18516,1,false,confirmed,false
7,1778270417617,baseline,10,1778270417617,1778270417700,,83154,1,false,confirmed,false
8,1778270418422,zela,10,1778270418422,1778270418423,939,19076,1,false,confirmed,false
8,1778270419817,baseline,10,1778270419817,1778270419925,,108807,1,false,confirmed,false
9,1778270420644,zela,10,1778270420644,1778270420645,1041,17977,1,false,confirmed,false
9,1778270422041,baseline,10,1778270422041,1778270422131,,89376,1,false,confirmed,false
10,1778270423420,zela,,,,,218013,,false,confirmed,true
10,1778270424464,baseline,10,1778270424464,1778270424618,,153593,1,false,confirmed,false
11,1778270425345,zela,10,1778270425345,1778270425346,997,18457,1,false,confirmed,false
11,1778270426739,baseline,10,1778270426739,1778270426832,,93279,1,false,confirmed,false
12,1778270427632,zela,10,1778270427632,1778270427633,1013,357122,1,false,confirmed,false
12,1778270429280,baseline,10,1778270429280,1778270429379,,99006,1,false,confirmed,false
13,1778270430096,zela,10,1778270430096,1778270430097,1187,18609,1,false,confirmed,false
13,1778270431490,baseline,10,1778270431490,1778270431583,,92935,1,false,confirmed,false
14,1778270432345,zela,10,1778270432345,1778270432347,1876,181802,1,false,confirmed,false
14,1778270433863,baseline,10,1778270433863,1778270433956,,92863,1,false,confirmed,false
15,1778270434683,zela,10,1778270434683,1778270434684,880,18045,1,false,confirmed,false
15,1778270436076,baseline,10,1778270436076,1778270436176,,99490,1,false,confirmed,false
16,1778270436899,zela,10,1778270436899,1778270436900,812,18790,1,false,confirmed,false
16,1778270438292,baseline,10,1778270438292,1778270438394,,101792,1,false,confirmed,false
17,1778270439133,zela,10,1778270439133,1778270439134,985,19634,1,false,confirmed,false
17,1778270440525,baseline,10,1778270440525,1778270440612,,87457,1,false,confirmed,false
18,1778270441417,zela,10,1778270441417,1778270441418,1029,415367,1,false,confirmed,false
18,1778270443121,baseline,10,1778270443121,1778270443224,,102958,1,false,confirmed,false
19,1778270443945,zela,10,1778270443945,1778270443946,956,18840,1,false,confirmed,false
19,1778270445337,baseline,10,1778270445337,1778270445454,,117588,1,false,confirmed,false
20,1778270446214,zela,10,1778270446214,1778270446215,1201,18830,1,false,confirmed,false
20,1778270447610,baseline,10,1778270447610,1778270447784,,173200,1,false,confirmed,false
21,1778270448994,zela,,,,,132081,,false,confirmed,true
21,1778270450037,baseline,10,1778270450037,1778270450132,,95109,1,false,confirmed,false
22,1778270450843,zela,10,1778270450843,1778270450844,1051,18784,1,false,confirmed,false
22,1778270452238,baseline,10,1778270452238,1778270452343,,105263,1,false,confirmed,false
23,1778270453554,zela,,,,,161890,,false,confirmed,true
23,1778270454596,baseline,10,1778270454596,1778270454705,,108912,1,false,confirmed,false
24,1778270455431,zela,10,1778270455431,1778270455431,815,18228,1,false,confirmed,false
24,1778270456820,baseline,10,1778270456820,1778270456908,,88337,1,false,confirmed,false
25,1778270457628,zela,10,1778270457628,1778270457629,1065,18384,1,false,confirmed,false
25,1778270459020,baseline,10,1778270459020,1778270459100,,79732,1,false,confirmed,false
26,1778270460245,zela,,,,,99629,,false,confirmed,true
26,1778270461290,baseline,10,1778270461290,1778270461377,,87374,1,false,confirmed,false
27,1778270462088,zela,10,1778270462088,1778270462089,908,18418,1,false,confirmed,false
27,1778270463482,baseline,10,1778270463482,1778270463591,,109348,1,false,confirmed,false
28,1778270464325,zela,10,1778270464325,1778270464326,894,18309,1,false,confirmed,false
28,1778270465720,baseline,10,1778270465720,1778270465820,,99894,1,false,confirmed,false
29,1778270466640,zela,10,1778270466640,1778270466640,448,428689,1,false,confirmed,false
29,1778270468358,baseline,10,1778270468358,1778270468437,,79405,1,false,confirmed,false
30,1778270469151,zela,10,1778270469151,1778270469152,1009,18900,1,false,confirmed,false
30,1778270470541,baseline,10,1778270470541,1778270470620,,78727,1,false,confirmed,false
31,1778270471337,zela,10,1778270471337,1778270471338,918,18702,1,false,confirmed,false
31,1778270472734,baseline,10,1778270472734,1778270472805,,70850,1,false,confirmed,false
32,1778270473513,zela,10,1778270473513,1778270473514,826,16577,1,false,confirmed,false
32,1778270474906,baseline,10,1778270474906,1778270474988,,82116,1,false,confirmed,false
33,1778270475705,zela,10,1778270475705,1778270475706,940,18429,1,false,confirmed,false
33,1778270477099,baseline,10,1778270477099,1778270477210,,111361,1,false,confirmed,false
34,1778270478034,zela,10,1778270478034,1778270478116,81541,430949,1,false,confirmed,false
34,1778270479778,baseline,10,1778270479778,1778270479890,,112013,1,false,confirmed,false
35,1778270480694,zela,10,1778270480694,1778270480695,818,464328,1,false,confirmed,false
35,1778270482451,baseline,10,1778270482451,1778270482546,,95058,1,false,confirmed,false
36,1778270483264,zela,10,1778270483264,1778270483266,1688,18761,1,false,confirmed,false
36,1778270484661,baseline,10,1778270484661,1778270484821,,160479,1,false,confirmed,false
