run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778284801849,zela,10,1778284801849,1778284801867,18481,318012,1,true,confirmed,false
1,1778284803502,baseline,10,1778284803502,1778284803608,,105377,1,true,confirmed,false
2,1778284804247,zela,10,1778284804247,1778284804248,877,18827,1,true,confirmed,false
2,1778284805717,baseline,10,1778284805717,1778284805809,,92264,1,true,confirmed,false
3,1778284806498,zela,10,1778284806498,1778284806517,18927,220420,1,true,confirmed,false
3,1778284808129,baseline,10,1778284808129,1778284808233,,104616,1,true,confirmed,false
4,1778284808876,zela,10,1778284808876,1778284808876,863,18295,1,true,confirmed,false
4,1778284810346,baseline,10,1778284810346,1778284810438,,91751,1,true,confirmed,false
5,1778284811091,zela,10,1778284811091,1778284811091,768,18016,1,true,confirmed,false
5,1778284812557,baseline,10,1778284812557,1778284812623,,65578,1,true,confirmed,false
6,1778284813377,zela,10,1778284813377,1778284813377,731,304782,1,false,confirmed,false
6,1778284815021,baseline,10,1778284815021,1778284815109,,88002,1,false,confirmed,false
7,1778284815768,zela,10,1778284815768,1778284815769,787,18225,1,false,confirmed,false
7,1778284817236,baseline,10,1778284817236,1778284817344,,107952,1,false,confirmed,false
8,1778284818104,zela,10,1778284818104,1778284818104,593,254135,1,false,confirmed,false
8,1778284819694,baseline,10,1778284819694,1778284819768,,73824,1,false,confirmed,false
9,1778284820405,zela,10,1778284820405,1778284820406,969,18966,1,false,confirmed,false
9,1778284821872,baseline,10,1778284821872,1778284821963,,90618,1,false,confirmed,false
10,1778284822646,zela,10,1778284822646,1778284822664,18242,213167,1,false,confirmed,false
10,1778284824273,baseline,10,1778284824273,1778284824369,,96912,1,false,confirmed,false
11,1778284825025,zela,10,1778284825025,1778284825026,1018,19197,1,false,confirmed,false
11,1778284826494,baseline,10,1778284826494,1778284826579,,85168,1,false,confirmed,false
12,1778284827330,zela,10,1778284827330,1778284827330,695,464446,1,false,confirmed,false
12,1778284829131,baseline,10,1778284829131,1778284829224,,93476,1,false,confirmed,false
13,1778284829975,zela,10,1778284829975,1778284829975,438,341084,1,false,confirmed,false
13,1778284831653,baseline,10,1778284831653,1778284831744,,90887,1,false,confirmed,false
14,1778284832381,zela,10,1778284832381,1778284832382,1039,18897,1,false,confirmed,false
14,1778284833849,baseline,10,1778284833849,1778284833946,,96219,1,false,confirmed,false
15,1778284834592,zela,10,1778284834592,1778284834593,976,19448,1,false,confirmed,false
15,1778284836060,baseline,10,1778284836060,1778284836143,,82744,1,false,confirmed,false
16,1778284836781,zela,10,1778284836781,1778284836782,985,18803,1,false,confirmed,false
16,1778284838249,baseline,10,1778284838249,1778284838339,,89619,1,false,confirmed,false
17,1778284839018,zela,10,1778284839018,1778284839046,28591,240076,1,false,confirmed,false
17,1778284840672,baseline,10,1778284840672,1778284840761,,89929,1,false,confirmed,false
18,1778284841403,zela,10,1778284841403,1778284841404,1010,21606,1,false,confirmed,false
18,1778284842875,baseline,10,1778284842875,1778284842957,,82196,1,false,confirmed,false
19,1778284843596,zela,10,1778284843596,1778284843597,1059,18271,1,false,confirmed,false
19,1778284845072,baseline,10,1778284845072,1778284845167,,95460,1,false,confirmed,false
20,1778284845802,zela,10,1778284845802,1778284845803,987,16603,1,false,confirmed,false
20,1778284847273,baseline,10,1778284847273,1778284847370,,97708,1,false,confirmed,false
21,1778284848017,zela,10,1778284848017,1778284848018,1018,19499,1,false,confirmed,false
21,1778284849487,baseline,10,1778284849487,1778284849569,,81740,1,false,confirmed,false
22,1778284850201,zela,10,1778284850201,1778284850202,826,16523,1,false,confirmed,false
22,1778284851666,baseline,10,1778284851666,1778284851749,,83065,1,false,confirmed,false
23,1778284852498,zela,10,1778284852498,1778284852499,814,465242,1,false,confirmed,false
23,1778284854299,baseline,10,1778284854299,1778284854399,,100401,1,false,confirmed,false
24,1778284855032,zela,10,1778284855032,1778284855034,1076,18932,1,false,confirmed,false
24,1778284856502,baseline,10,1778284856502,1778284856590,,88207,1,false,confirmed,false
25,1778284857338,zela,10,1778284857338,1778284857339,748,463850,1,false,confirmed,false
25,1778284859141,baseline,10,1778284859141,1778284859247,,105911,1,false,confirmed,false
26,1778284859884,zela,10,1778284859884,1778284859885,892,18549,1,false,confirmed,false
26,1778284861352,baseline,10,1778284861352,1778284861431,,79074,1,false,confirmed,false
27,1778284862067,zela,10,1778284862067,1778284862068,724,17913,1,false,confirmed,false
27,1778284863535,baseline,10,1778284863535,1778284863622,,86804,1,false,confirmed,false
28,1778284864295,zela,10,1778284864295,1778284864314,18998,231001,1,false,confirmed,false
28,1778284865934,baseline,10,1778284865934,1778284866039,,105080,1,false,confirmed,false
29,1778284866789,zela,10,1778284866789,1778284866789,696,464693,1,false,confirmed,false
29,1778284868592,baseline,10,1778284868592,1778284868693,,100970,1,false,confirmed,false
30,1778284869367,zela,10,1778284869367,1778284869385,18154,220291,1,false,confirmed,false
30,1778284870997,baseline,10,1778284870997,1778284871082,,85293,1,false,confirmed,false
31,1778284871758,zela,10,1778284871758,1778284871778,19657,229810,1,false,confirmed,false
31,1778284873401,baseline,10,1778284873401,1778284873482,,81853,1,false,confirmed,false
32,1778284874230,zela,10,1778284874230,1778284874231,716,465030,1,false,confirmed,false
32,1778284876035,baseline,10,1778284876035,1778284876115,,79103,1,false,confirmed,false
33,1778284876746,zela,10,1778284876746,1778284876747,900,18580,1,false,confirmed,false
33,1778284878212,baseline,10,1778284878212,1778284878298,,85625,1,false,confirmed,false
34,1778284878928,zela,10,1778284878928,1778284878929,865,18443,1,false,confirmed,false
34,1778284880399,baseline,10,1778284880399,1778284880507,,107075,1,false,confirmed,false
35,1778284881145,zela,10,1778284881145,1778284881146,811,17171,1,false,confirmed,false
35,1778284882614,baseline,10,1778284882614,1778284882697,,83539,1,false,confirmed,false
36,1778284883334,zela,10,1778284883334,1778284883335,1121,18913,1,false,confirmed,false
36,1778284884806,baseline,10,1778284884806,1778284884905,,99123,1,false,confirmed,false
37,1778284886076,zela,,,,,120148,,false,confirmed,true
37,1778284887118,baseline,10,1778284887118,1778284887233,,114642,1,false,confirmed,false
38,1778284887899,zela,10,1778284887899,1778284887900,1002,18634,1,false,confirmed,false
38,1778284889370,baseline,10,1778284889370,1778284889460,,89970,1,false,confirmed,false
39,1778284890095,zela,10,1778284890095,1778284890096,1021,18815,1,false,confirmed,false
39,1778284891567,baseline,10,1778284891567,1778284891683,,116565,1,false,confirmed,false
40,1778284892332,zela,10,1778284892332,1778284892333,975,17316,1,false,confirmed,false
40,1778284893804,baseline,10,1778284893804,1778284893886,,81343,1,false,confirmed,false
41,1778284894525,zela,10,1778284894525,1778284894526,837,18892,1,false,confirmed,false
41,1778284895997,baseline,10,1778284895997,1778284896081,,83919,1,false,confirmed,false
42,1778284896826,zela,10,1778284896826,1778284896827,1275,454431,1,false,confirmed,false
42,1778284898617,baseline,10,1778284898617,1778284898704,,86607,1,false,confirmed,false
43,1778284899886,zela,,,,,138451,,false,confirmed,true
43,1778284900935,baseline,10,1778284900935,1778284901018,,82933,1,false,confirmed,false
44,1778284901654,zela,10,1778284901654,1778284901655,847,17960,1,false,confirmed,false
44,1778284903123,baseline,10,1778284903123,1778284903230,,107353,1,false,confirmed,false
45,1778284903875,zela,10,1778284903875,1778284903876,715,17977,1,false,confirmed,false
45,1778284905346,baseline,10,1778284905346,1778284905449,,102765,1,false,confirmed,false
46,1778284906585,zela,,,,,98976,,false,confirmed,true
46,1778284907627,baseline,10,1778284907627,1778284907689,,61822,1,false,confirmed,false
47,1778284908319,zela,10,1778284908319,1778284908320,994,18979,1,false,confirmed,false
47,1778284909788,baseline,10,1778284909788,1778284909928,,139712,1,false,confirmed,false
48,1778284910632,zela,10,1778284910632,1778284910721,88642,446870,1,false,confirmed,false
48,1778284912475,baseline,10,1778284912475,1778284912571,,96023,1,false,confirmed,false
49,1778284913253,zela,10,1778284913253,1778284913279,25206,152814,1,false,confirmed,false
49,1778284914819,baseline,10,1778284914819,1778284914902,,82513,1,false,confirmed,false
50,1778284915646,zela,10,1778284915646,1778284915647,586,464257,1,false,confirmed,false
50,1778284917454,baseline,10,1778284917454,1778284917549,,94235,1,false,confirmed,false
51,1778284918223,zela,10,1778284918223,1778284918259,36574,233019,1,false,confirmed,false
51,1778284919871,baseline,10,1778284919871,1778284919966,,94958,1,false,confirmed,false
52,1778284920612,zela,10,1778284920612,1778284920613,988,17925,1,false,confirmed,false
52,1778284922086,baseline,10,1778284922086,1778284922173,,86442,1,false,confirmed,false
53,1778284922810,zela,10,1778284922810,1778284922811,982,18786,1,false,confirmed,false
53,1778284924283,baseline,10,1778284924283,1778284924368,,85663,1,false,confirmed,false
54,1778284925044,zela,10,1778284925044,1778284925072,27968,239544,1,false,confirmed,false
54,1778284926694,baseline,10,1778284926694,1778284926785,,91317,1,false,confirmed,false
